# timestamp(s) tx ty tz qx qy qz qw
4.135000000 -13.000000 13.000000 1.071021 0.000000 0.000000 0.000000 1.000000
4.140000000 -13.000000 13.000000 1.069750 0.000000 0.000000 0.000000 1.000000
4.145000000 -13.000000 13.000000 1.068495 0.000000 0.000000 0.000000 1.000000
4.150000000 -13.000000 13.000000 1.067256 0.000000 0.000000 0.000000 1.000000
4.155000000 -13.000000 13.000000 1.066031 0.000000 0.000000 0.000000 1.000000
4.160000000 -13.000000 13.000000 1.064822 0.000000 0.000000 0.000000 1.000000
4.165000000 -13.000000 13.000000 1.063629 0.000000 0.000000 0.000000 1.000000
4.170000000 -13.000000 13.000000 1.062450 0.000000 0.000000 0.000000 1.000000
4.175000000 -13.000000 13.000000 1.061287 0.000000 0.000000 0.000000 1.000000
4.180000000 -13.000000 13.000000 1.060138 0.000000 0.000000 0.000000 1.000000
4.185000000 -13.000000 13.000000 1.059004 0.000000 0.000000 0.000000 1.000000
4.190000000 -13.000000 13.000000 1.057885 0.000000 0.000000 0.000000 1.000000
4.195000000 -13.000000 13.000000 1.056780 0.000000 0.000000 0.000000 1.000000
4.200000000 -13.000000 13.000000 1.055690 0.000000 0.000000 0.000000 1.000000
4.205000000 -13.000000 13.000000 1.054614 0.000000 0.000000 0.000000 1.000000
4.210000000 -13.000000 13.000000 1.053552 0.000000 0.000000 0.000000 1.000000
4.215000000 -13.000000 13.000000 1.052504 0.000000 0.000000 0.000000 1.000000
4.220000000 -13.000000 13.000000 1.051470 0.000000 0.000000 0.000000 1.000000
4.225000000 -13.000000 13.000000 1.050449 0.000000 0.000000 0.000000 1.000000
4.230000000 -13.000000 13.000000 1.049443 0.000000 0.000000 0.000000 1.000000
4.235000000 -13.000000 13.000000 1.048449 0.000000 0.000000 0.000000 1.000000
4.240000000 -13.000000 13.000000 1.047470 0.000000 0.000000 0.000000 1.000000
4.245000000 -13.000000 13.000000 1.046503 0.000000 0.000000 0.000000 1.000000
